"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM14","predict14"
"678",678,678,"2014-05-29 13",149.561806,92.588,10.48,0.26,149,66.6835269501871,68.0231786161307
"679",679,679,"2014-05-29 14",149.602435,90.025,10.85,0.26,149,69.3994064544384,71.517049884126
"680",680,680,"2014-05-29 15",149.644096666667,103.596666666667,11.2166666666667,0.26,149,72.192528177539,74.9794448343918
"681",681,681,"2014-05-29 16",149.686806,103.44,11.4,0.26,149,73.6281582601205,76.7106423095243
"682",682,682,"2014-05-29 17",149.72639,127.202,11.44,0.26,149,73.9449118149683,77.0883581222806
"683",683,683,"2014-05-29 18",149.769096666667,121.581666666667,11.5,0.26,149,74.4224306773797,77.6549318414149
"684",684,684,"2014-05-29 19",149.811806,123.138,11.5,0.26,149,74.4224306773797,77.6549318414149
"685",685,685,"2014-05-29 20",149.85139,152.772,11.5,0.26,149,74.4224306773797,77.6549318414149
"686",686,686,"2014-05-29 21",149.894096666667,132.203333333333,11.4666666666667,0.26,149,74.156787832555,77.3401686641184
"687",687,687,"2014-05-29 22",149.936806,124.806,11.34,0.26,149,73.1554046378638,76.1440685903899
"688",688,688,"2014-05-29 23",149.97639,131.126,11.22,0.26,149,72.2183953886404,75.0109211521212
"689",689,689,"2014-05-30 00",150.022916,118.324,11.06,0.26,150,70.9864902742093,73.5000579010962
"690",690,690,"2014-05-30 01",150.061806,113.22,10.98,0.26,150,70.3779290760135,72.7446262755838
"691",691,691,"2014-05-30 02",150.10139,144.326,10.84,0.26,150,69.324664632175,71.4226209309369
"692",692,692,"2014-05-30 03",150.144096666667,135.278333333333,10.7666666666667,0.26,150,68.7788524119669,70.7301419408841
"693",693,693,"2014-05-30 04",150.186806,112.662,10.64,0.26,150,67.845535519387,69.5340418671557
"694",694,694,"2014-05-30 05",150.22639,142.56,10.6,0.26,150,67.5532720840472,69.1563260543994
"695",695,695,"2014-05-30 06",150.269096666667,128.806666666667,10.4833333333333,0.26,150,66.7075445361752,68.0546549338601
"696",696,696,"2014-05-30 07",150.3116325,102.6125,10.45,0.255,150,65.1623667975247,65.4504426126154
"697",697,697,"2014-05-30 08",150.35139,122.23,10.4,0.254,150,64.5424881243023,64.5204080178805
"698",698,698,"2014-05-30 09",150.394096666667,104.475,10.4166666666667,0.25,150,63.5522574768439,62.8462302913707
"699",699,699,"2014-05-30 10",150.436806,80.994,10.52,0.25,150,64.2657553603968,63.8219961409907
"700",700,700,"2014-05-30 11",150.47639,106.002,10.66,0.25,150,65.2443790120481,65.1440014856376
"701",701,701,"2014-05-30 12",150.519096666667,101.63,10.95,0.25,150,67.3160020960542,67.8824411281203
"702",702,702,"2014-05-30 13",150.561806,102.722,11.2,0.25,150,69.1510630830186,70.2431649578469
"703",703,703,"2014-05-30 14",150.6033,131.805,11.375,0.25,150,70.4633083241823,71.8956716386555
"704",704,704,"2014-05-30 15",150.644096666667,120.108333333333,11.5,0.25,150,71.4148343297537,73.0760335535187
"705",705,705,"2014-05-30 16",150.686806,111.022,11.6,0.25,150,72.1846862452953,74.0203230854093
"706",706,706,"2014-05-30 17",150.72639,131.4,11.68,0.25,150,72.8061441097569,74.7757547109218
"707",707,707,"2014-05-30 18",150.769096666667,126.098333333333,11.8,0.25,150,73.7477115116701,75.9089021491906
"708",708,708,"2014-05-30 19",150.811806,122.758,11.8,0.26,150,76.8535556947443,80.4878004370868
"709",709,709,"2014-05-30 20",150.8533,117.73,11.775,0.26,150,76.6481620236206,80.2517280541141
"710",710,710,"2014-05-30 21",150.894096666667,130.258333333333,11.6833333333333,0.258333333333333,150,75.4122173198101,78.6229796018979
"711",711,711,"2014-05-30 22",150.936806,116.756,11.6,0.25,150,72.1846862452953,74.0203230854093
"712",712,712,"2014-05-30 23",150.97639,151.954,11.52,0.25,150,71.5681881853666,73.2648914598968
"713",713,713,"2014-05-31 00",151.019096666667,136.548333333333,11.4,0.25,151,70.6526604451468,72.1317440216281
"714",714,714,"2014-05-31 01",151.061806,102.598,11.32,0.25,151,70.0484017385777,71.3763123961156
"715",715,715,"2014-05-31 02",151.10139,121.346,11.2,0.25,151,69.1510630830186,70.2431649578469
