"","m","x","y"
"218",0.23,7.9,0.000303333333333333
"219",0.23,7.9,0.000303333333333333
"220",0.23,7.9,0.000303333333333333
"221",0.23,7.9,0.000303333333333333
"222",0.23,7.9,0.000303333333333333
"223",0.23,7.9,0.000303333333333333
"224",0.23,7.9,0.000303333333333333
"225",0.23,7.9,0.000303333333333333
"226",0.23,7.9,0.000303333333333333
"227",0.23,7.9,0.000303333333333333
"228",0.23,7.9,0.000303333333333333
"229",0.23,7.9,0.000303333333333333
"230",0.23,7.9,0.000303333333333333
"231",0.23,7.9,0.000303333333333333
"232",0.23,7.9,0.000303333333333333
"233",0.23,7.9,0.000303333333333333
"234",0.23,7.9,0.000303333333333333
"235",0.23,7.9,0.000303333333333333
"236",0.23,7.9,0.000303333333333333
"237",0.23,7.9,0.000303333333333333
"238",0.23,7.9,0.000303333333333333
"239",0.23,7.9,0.000303333333333333
"240",0.23,7.9,0.000303333333333333
"241",0.23,8.9,0.000353333333333333
"242",0.23,8.9,0.000353333333333333
"243",0.23,8.9,0.000353333333333333
"244",0.23,8.9,0.000353333333333333
"245",0.23,8.9,0.000353333333333333
"246",0.23,8.9,0.000353333333333333
"247",0.23,8.9,0.000353333333333333
"248",0.23,8.9,0.000353333333333333
"249",0.23,8.9,0.000353333333333333
"250",0.23,8.9,0.000353333333333333
"251",0.23,8.9,0.000353333333333333
"252",0.23,8.9,0.000353333333333333
"253",0.23,8.9,0.000353333333333333
"254",0.23,8.9,0.000353333333333333
"255",0.23,8.9,0.000353333333333333
"256",0.23,8.9,0.000353333333333333
"257",0.23,8.9,0.000353333333333333
"258",0.23,8.9,0.000353333333333333
"259",0.23,8.9,0.000353333333333333
"260",0.23,8.9,0.000353333333333333
"261",0.23,8.9,0.000353333333333333
"262",0.23,8.9,0.000353333333333333
"263",0.23,8.9,0.000353333333333333
"264",0.23,8.9,0.000353333333333333
"265",0.22,9.5,0.0003225
"266",0.22,9.5,0.0003225
"267",0.22,9.5,0.0003225
"268",0.22,9.5,0.0003225
"269",0.22,9.5,0.0003225
"270",0.22,9.5,0.0003225
"271",0.22,9.5,0.0003225
"272",0.22,9.5,0.0003225
"273",0.22,9.5,0.0003225
"274",0.22,9.5,0.0003225
"275",0.22,9.5,0.0003225
"276",0.22,9.5,0.0003225
"277",0.22,9.5,0.0003225
"278",0.22,9.5,0.0003225
"279",0.22,9.5,0.0003225
"280",0.22,9.5,0.0003225
"281",0.22,9.5,0.0003225
"282",0.22,9.5,0.0003225
"283",0.22,9.5,0.0003225
"284",0.22,9.5,0.0003225
"285",0.22,9.5,0.0003225
"286",0.22,9.5,0.0003225
"287",0.22,9.5,0.0003225
"288",0.22,9.5,0.0003225
"289",0.22,10.3,0.00040625
"290",0.22,10.3,0.00040625
"291",0.22,10.3,0.00040625
"292",0.22,10.3,0.00040625
"293",0.22,10.3,0.00040625
"294",0.22,10.3,0.00040625
"295",0.22,10.3,0.00040625
"296",0.22,10.3,0.00040625
"297",0.22,10.3,0.00040625
"298",0.22,10.3,0.00040625
"299",0.22,10.3,0.00040625
"300",0.22,10.3,0.00040625
"301",0.22,10.3,0.00040625
"302",0.22,10.3,0.00040625
"303",0.22,10.3,0.00040625
"304",0.22,10.3,0.00040625
"305",0.22,10.3,0.00040625
"306",0.22,10.3,0.00040625
"307",0.22,10.3,0.00040625
"308",0.22,10.3,0.00040625
"309",0.22,10.3,0.00040625
"310",0.22,10.3,0.00040625
"311",0.22,10.3,0.00040625
"312",0.22,10.3,0.00040625
"313",0.22,10.2,0.00045625
"314",0.22,10.2,0.00045625
"315",0.22,10.2,0.00045625
"316",0.22,10.2,0.00045625
"317",0.22,10.2,0.00045625
"318",0.22,10.2,0.00045625
"319",0.22,10.2,0.00045625
"320",0.22,10.2,0.00045625
"321",0.22,10.2,0.00045625
"322",0.22,10.2,0.00045625
"323",0.22,10.2,0.00045625
"324",0.22,10.2,0.00045625
"325",0.22,10.2,0.00045625
"326",0.22,10.2,0.00045625
"327",0.22,10.2,0.00045625
"328",0.22,10.2,0.00045625
"329",0.22,10.2,0.00045625
"330",0.22,10.2,0.00045625
"331",0.22,10.2,0.00045625
"332",0.22,10.2,0.00045625
"333",0.22,10.2,0.00045625
"334",0.22,10.2,0.00045625
"335",0.22,10.2,0.00045625
"336",0.22,10.2,0.00045625
"337",0.21,10.6,0.0004075
"338",0.21,10.6,0.0004075
"339",0.21,10.6,0.0004075
"340",0.21,10.6,0.0004075
"341",0.21,10.6,0.0004075
"342",0.21,10.6,0.0004075
"343",0.21,10.6,0.0004075
"344",0.21,10.6,0.0004075
"345",0.21,10.6,0.0004075
"346",0.21,10.6,0.0004075
"347",0.21,10.6,0.0004075
"348",0.21,10.6,0.0004075
"349",0.21,10.6,0.0004075
"350",0.21,10.6,0.0004075
